"Group ID","Student's First Name","Student's Last Name","Student ID","Attendance"
"-1","Rokas","Baliutavicius","2312002","[]"
"-1","Sophia","Johnson","2314003","[]"
"-1","Liam","Smith","2491203","[]"
"0","Olivia","Williams","3456789","[]"
"0","Noah","Brown","4567890","[]"
"0","Emma","Jones","5678901","[]"
"0","Jackson","Davis","6789012","[]"
"0","Ava","Garcia","7890123","[]"
"0","Mason","Martinez","8901234","[]"
"0","Isabella","Hernandez","9012345","[]"
"2","Elijah","Young","0123456","[]"
"2","Mia","Rodriguez","1234567","[]"
"2","Ethan","Lopez","2345678","[]"
"3","Charlotte","Gonzalez","3456789","[]"
"3","Aiden","Nelson","4567890","[]"
"3","Amelia","Lee","5678901","[]"
"3","James","Turner","6789012","[]"
"3","Harper","Scott","7890123","[]"
"3","Alexander","King","8901234","[]"
"4","Abigail","Green","9012345","[]"
"4","Lucas","Hall","0123456","[]"
"4","Madison","Adams","1234567","[]"
"5","Benjamin","Mitchell","2345678","[]"
"5","Evelyn","Rivera","3456789","[]"
